sampleID	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
MB.6305	0.08670035	0.136686436	0.241571101	0.144888961	0.062733903	0.545746607
MB.6248	0.104457006	0.119182309	0.184491357	0.145456916	0.053886123	0.499901792
MB.6223	0.13985135	0.154788112	0.220585604	0.126912746	0.064095069	0.498649265
MB.6188	0.089129915	0.124387685	0.237918804	0.134392729	0.070816102	0.516992685
MB.6318	0.094076484	0.12226549	0.180348858	0.120905794	0.070629566	0.481233135
MB.6280	0.077411675	0.127297404	0.178407635	0.13687875	0.039797735	0.513078575
MB.6098	0.069329467	0.119298558	0.137074213	0.112701931	0.010061587	0.490416732
MB.4974	0.075852198	0.116150796	0.219216421	0.134413677	0.056139756	0.517629944
MB.4696	0.090848825	0.120861616	0.195216789	0.121287334	0.065619031	0.50840792
MB.4714	0.143103428	0.146173309	0.168042689	0.112235058	0.0376602	0.472869653
MB.4881	0.089708717	0.132332548	0.16457287	0.119260207	0.034472655	0.475932265
MB.4904	0.167859361	0.171433869	0.269125177	0.132987704	0.040544169	0.543568585
MB.4865	0.09650229	0.129627354	0.192027334	0.122548942	0.060217575	0.504044879
MB.4416	0.094755136	0.150785728	0.18239533	0.136433169	0.061101696	0.501464904
MB.4407	0.083006128	0.134890147	0.126234829	0.119112612	0.011371124	0.465551785
MB.4254	0.097844801	0.127992421	0.201575434	0.136625464	0.038632742	0.531044295
MB.4621	0.05899566	0.099840155	0.144856082	0.105062621	0.001180002	0.441685425
MB.4893	0.112231326	0.172367649	0.235290227	0.137961873	0.047372039	0.556616133
MB.4859	0.136780409	0.219882296	0.21267117	0.122893924	0.037139724	0.559966026
MB.4942	0.121589738	0.169941533	0.234904174	0.135020492	0.042364064	0.533331955
MB.4928	0.097085202	0.139428324	0.181598036	0.112431556	0.047950672	0.493308081
MB.4792	0.072052866	0.115389745	0.157134462	0.117205001	0.039708037	0.482884502
MB.5008	0.091187683	0.099131487	0.158720513	0.098236848	0.019037994	0.420480153
MB.6152	0.111250813	0.147155869	0.208884471	0.137646411	0.0573045	0.538882882
MB.5295	0.068402569	0.118639647	0.141229702	0.108988713	0.035964141	0.456378785
MB.6058	0.079731569	0.142099966	0.206702769	0.138892877	0.062398461	0.532877894
MB.6052	0.096447773	0.146237345	0.231506593	0.125787892	0.048057125	0.541029633
MB.5335	0.073900069	0.111333598	0.143308819	0.099191691	0.037508656	0.439926087
MB.5135	0.079480431	0.098066511	0.132276534	0.108054995	0.013103967	0.458185692
MB.4880	0.07856048	0.132756532	0.178971083	0.11864979	0.032937461	0.475264054
MB.5057	0.085458877	0.117734815	0.187115694	0.112430102	0.03890053	0.497821122
MB.5102	0.078086646	0.102192388	0.165823133	0.106174442	0.061455666	0.452989187
MB.6272	0.104464978	0.13179414	0.179029055	0.12276539	0.039571912	0.500277142
MB.6245	0.107213541	0.148882547	0.141882552	0.106011547	0.014400287	0.458172044
MB.4303	0.079959557	0.132969824	0.182762071	0.117999393	0.024074157	0.470836843
MB.6055	0.112715646	0.143554296	0.217825174	0.15156394	0.055405748	0.544109855
MB.6336	0.119094054	0.145837845	0.196240776	0.125233802	0.015707168	0.497508241
MB.4351	0.085608792	0.150432277	0.169630111	0.11528797	0.030715915	0.468328578
MB.5255	0.224109754	0.205782247	0.230828596	0.132987694	0.083651291	0.541624446
MB.5208	0.088863062	0.114330758	0.178032546	0.108990188	0.050423074	0.471003861
MB.5440	0.114901591	0.127831635	0.237017982	0.139524184	0.047702686	0.534546452
MB.5298	0.110390592	0.153800003	0.180444145	0.122184226	0.033491255	0.503298573
MB.6144	0.174442256	0.188045823	0.19499529	0.139719817	0.066028402	0.545369713
MB.5346	0.080456476	0.102425	0.175011538	0.109685658	0.012681195	0.48557999
MB.6178	0.092571906	0.142747862	0.172950057	0.127904379	0.034441862	0.508808287
MB.6062	0.093578455	0.138406571	0.280169173	0.149178119	0.060908782	0.582396641
MB.4417	0.081233894	0.132585905	0.167447389	0.127828056	0.026287951	0.500141106
MB.4332	0.090656228	0.133841043	0.161268433	0.117150887	0	0.469938804
MB.7205	0.094317291	0.13051572	0.181629126	0.119251249	0.061984534	0.506102557
MB.7159	0.083592781	0.079062676	0.144214251	0.106103832	0.03348895	0.404446733
MB.4354	0.085674383	0.143878408	0.195837499	0.111574948	0.041430641	0.469813399
MB.6143	0.075163012	0.104293912	0.175512881	0.112547181	0.055077606	0.464982327
MB.5148	0.173421362	0.146560607	0.16512269	0.110791881	0.074585004	0.467989755
MB.5225	0.075534141	0.141577275	0.221227594	0.125814607	0.050637569	0.512300027
MB.4024	0.077096508	0.116026004	0.136843977	0.112500701	0.038679288	0.444540175
MB.6242	0.085196892	0.115337846	0.212719125	0.125200954	0.047557071	0.50328912
MB.6237	0.06800524	0.114044695	0.186886324	0.117054855	0.063697513	0.475563773
MB.5173	0.059978585	0.106187352	0.170420709	0.119160259	0.045384836	0.4911064
MB.5162	0.057110541	0.13660392	0.173729692	0.129826432	0.106800117	0.557614265
MB.5235	0.102410817	0.124853182	0.160217044	0.098657622	0.031208443	0.456163095
MB.4931	0.136895061	0.13589743	0.288893653	0.137335039	0.081399717	0.530417531
MB.7045	0.091976919	0.1065001	0.220212826	0.110706904	0.079641304	0.50483377
MB.7049	0.109377393	0.098630838	0.170672854	0.091569182	0.020644077	0.420143092
MB.7031	0.088551904	0.121210396	0.155712943	0.109954726	0.039461059	0.474550233
MB.7078	0.046628968	0.095752058	0.210983734	0.121889793	0.072088167	0.527875248
MB.7038	0.087339825	0.105507563	0.202902431	0.10496351	0.059175053	0.464524536
MB.0435	0.069716911	0.125120078	0.219260741	0.150005539	0.149080295	0.6010703
MB.0399	0.060600033	0.110768702	0.183114143	0.11368725	0.08886073	0.483263624
MB.0265	0.082887047	0.109153165	0.268775968	0.129397326	0.096506299	0.509594923
MB.0191	0.090669015	0.144163663	0.141454763	0.125856146	0.056932754	0.506380946
MB.0558	0.081910174	0.108558438	0.178283458	0.13506383	0.044659506	0.512380751
MB.0284	0.073378267	0.112594719	0.22383857	0.128624631	0.079034819	0.503012338
MB.0639	0.066678989	0.107645339	0.176372154	0.122083003	0.070788224	0.474416561
MB.0318	0.07298937	0.088518583	0.172047642	0.095197483	0.017849974	0.431376739
MB.6251	0.066497806	0.111380648	0.158742163	0.11074992	0.048303177	0.465828859
MB.0489	0.22439796	0.244886781	0.236800236	0.140633399	0.069756144	0.55583472
MB.0876	0.077217983	0.125667748	0.268070656	0.154153218	0.124099933	0.562137576
MB.5450	0.097237464	0.130531713	0.195698481	0.122910311	0.040364709	0.508840826
MB.5155	0.075357972	0.11661719	0.158739671	0.108226375	0.056226382	0.454452931
MB.0100	0.089627648	0.121932559	0.196081368	0.112940819	0.038326968	0.509305587
MB.5572	0.159333482	0.192227997	0.275424453	0.153108882	0.049686961	0.576072742
MB.5655	0.086733258	0.107525648	0.163937084	0.10995374	0.005640039	0.468513967
MB.5577	0.144752526	0.178060686	0.275141904	0.141299819	0.066050377	0.55036038
MB.0333	0.049379059	0.096696529	0.191923498	0.152450476	0.065433666	0.540494251
MB.0210	0.062038597	0.145184178	0.223396957	0.151776261	0.152600654	0.641843769
MB.0200	0.07033804	0.094640605	0.182553473	0.108344866	0.050806893	0.474498826
MB.5633	0.18335921	0.206264104	0.207541591	0.148549925	0.049063756	0.549923161
MB.0278	0.060321861	0.079670843	0.166509609	0.110811479	0.030864261	0.428659194
MB.0627	0.085664999	0.119780859	0.2534505	0.136389793	0.111568636	0.530492366
MB.0634	0.109011189	0.13814252	0.252060491	0.125771618	0.099746982	0.527061458
MB.0885	0.070269968	0.107151534	0.171751196	0.100098462	0.08580896	0.440483972
MB.5624	0.146457279	0.143801889	0.163128614	0.12444694	0.043942532	0.493032335
MB.5566	0.115307453	0.171475778	0.159477556	0.128534941	0.018926807	0.493140579
MB.0127	0.071584706	0.107184359	0.189957926	0.127079638	0.075387475	0.47451328
MB.0414	0.08065875	0.12401537	0.252660405	0.140723823	0.050260911	0.517041882
MB.0259	0.070352038	0.10816499	0.156096527	0.108493085	0.051880107	0.45676057
